['price', 'hours', 'minute', 'seconds']
124.5, 9, 29, 50
123.95, 9, 29, 51
124.4, 9, 29, 52
124.15, 9, 29, 53
124.6, 9, 29, 54
123.1, 9, 29, 55
123.85, 9, 29, 56
125.0, 9, 29, 57
125.75, 9, 29, 58
124.75, 9, 29, 59
125.5, 9, 30, 0
126.05, 9, 30, 1
126.8, 9, 30, 2
126.95, 9, 30, 3
126.95, 9, 30, 4
127.75, 9, 30, 5
126.1, 9, 30, 6
125.6, 9, 30, 7
124.05, 9, 30, 9
123.6, 9, 30, 10
121.65, 9, 30, 11
121.5, 9, 30, 12
120.8, 9, 30, 13
119.95, 9, 30, 14
119.7, 9, 30, 15
118.85, 9, 30, 16
119.5, 9, 30, 17
118.8, 9, 30, 18
119.75, 9, 30, 19
121.35, 9, 30, 20
120.9, 9, 30, 21
122.1, 9, 30, 22
122.5, 9, 30, 23
122.5, 9, 30, 24
122.0, 9, 30, 25
121.35, 9, 30, 26
121.45, 9, 30, 28
121.9, 9, 30, 29
120.25, 9, 30, 30
119.8, 9, 30, 31
120.8, 9, 30, 32
121.5, 9, 30, 33
121.75, 9, 30, 34
122.3, 9, 30, 35
122.2, 9, 30, 36
122.45, 9, 30, 37
122.15, 9, 30, 38
122.0, 9, 30, 39
123.15, 9, 30, 40
123.1, 9, 30, 41
124.3, 9, 30, 42
124.95, 9, 30, 43
126.0, 9, 30, 44
125.85, 9, 30, 45
126.4, 9, 30, 46
126.65, 9, 30, 48
126.45, 9, 30, 49
126.25, 9, 30, 50
125.95, 9, 30, 51
125.15, 9, 30, 52
124.0, 9, 30, 53
123.5, 9, 30, 54
123.65, 9, 30, 55
124.3, 9, 30, 56
124.95, 9, 30, 57
125.2, 9, 30, 58
126.25, 9, 30, 59
126.65, 9, 31, 0
126.25, 9, 31, 1
126.0, 9, 31, 2
127.8, 9, 31, 3
127.75, 9, 31, 4
128.8, 9, 31, 5
128.85, 9, 31, 7
130.6, 9, 31, 8
130.65, 9, 31, 9
130.15, 9, 31, 10
128.65, 9, 31, 11
128.8, 9, 31, 12
127.7, 9, 31, 13
126.25, 9, 31, 14
125.45, 9, 31, 15
125.45, 9, 31, 16
127.1, 9, 31, 17
127.1, 9, 31, 18
127.4, 9, 31, 19
126.95, 9, 31, 20
126.45, 9, 31, 21
126.45, 9, 31, 22
125.6, 9, 31, 23
125.05, 9, 31, 24
124.8, 9, 31, 26
123.8, 9, 31, 27
123.6, 9, 31, 28
123.0, 9, 31, 29
123.45, 9, 31, 30
124.3, 9, 31, 31
124.35, 9, 31, 32
123.85, 9, 31, 33
122.5, 9, 31, 34
122.4, 9, 31, 35
122.0, 9, 31, 36
121.5, 9, 31, 37
120.1, 9, 31, 38
120.0, 9, 31, 39
119.85, 9, 31, 40
119.9, 9, 31, 41
119.6, 9, 31, 42
120.2, 9, 31, 43
119.65, 9, 31, 45
120.45, 9, 31, 46
120.7, 9, 31, 47
121.4, 9, 31, 48
121.3, 9, 31, 49
121.0, 9, 31, 50
120.8, 9, 31, 51
120.45, 9, 31, 52
120.5, 9, 31, 53
120.0, 9, 31, 54
118.75, 9, 31, 55
118.75, 9, 31, 56
117.55, 9, 31, 57
117.0, 9, 31, 58
116.35, 9, 31, 59
115.85, 9, 32, 0
116.2, 9, 32, 1
116.05, 9, 32, 2
117.95, 9, 32, 4
117.6, 9, 32, 5
119.55, 9, 32, 6
118.95, 9, 32, 7
117.8, 9, 32, 8
116.7, 9, 32, 9
116.65, 9, 32, 10
116.6, 9, 32, 11
116.15, 9, 32, 12
115.7, 9, 32, 13
115.4, 9, 32, 14
114.55, 9, 32, 15
115.0, 9, 32, 16
114.4, 9, 32, 17
114.5, 9, 32, 18
114.15, 9, 32, 19
113.9, 9, 32, 20
114.1, 9, 32, 21
116.3, 9, 32, 23
117.3, 9, 32, 24
117.75, 9, 32, 25
118.1, 9, 32, 26
119.0, 9, 32, 27
119.55, 9, 32, 28
119.15, 9, 32, 29
118.2, 9, 32, 30
117.65, 9, 32, 31
117.25, 9, 32, 32
115.6, 9, 32, 33
114.75, 9, 32, 34
114.75, 9, 32, 35
115.25, 9, 32, 36
115.55, 9, 32, 37
117.05, 9, 32, 38
117.0, 9, 32, 39
115.9, 9, 32, 40
115.05, 9, 32, 42
115.2, 9, 32, 43
115.95, 9, 32, 44
115.45, 9, 32, 45
116.2, 9, 32, 46
114.7, 9, 32, 47
115.0, 9, 32, 48
114.9, 9, 32, 49
116.35, 9, 32, 50
116.65, 9, 32, 51
117.8, 9, 32, 52
116.2, 9, 32, 53
116.45, 9, 32, 54
115.45, 9, 32, 55
115.75, 9, 32, 56
116.15, 9, 32, 57
116.65, 9, 32, 58
116.7, 9, 32, 59
116.6, 9, 33, 0
117.35, 9, 33, 2
117.55, 9, 33, 3
117.85, 9, 33, 4
117.55, 9, 33, 5
117.3, 9, 33, 6
118.45, 9, 33, 7
117.9, 9, 33, 8
117.1, 9, 33, 9
116.0, 9, 33, 10
115.35, 9, 33, 11
115.4, 9, 33, 12
115.5, 9, 33, 13
116.55, 9, 33, 14
116.9, 9, 33, 15
117.25, 9, 33, 16
116.5, 9, 33, 17
116.15, 9, 33, 18
116.4, 9, 33, 19
116.6, 9, 33, 20
116.15, 9, 33, 22
116.55, 9, 33, 23
116.4, 9, 33, 24
115.6, 9, 33, 25
115.3, 9, 33, 26
115.0, 9, 33, 27
114.95, 9, 33, 28
115.2, 9, 33, 29
114.95, 9, 33, 30
114.2, 9, 33, 31
114.6, 9, 33, 32
114.5, 9, 33, 33
115.0, 9, 33, 34
115.15, 9, 33, 35
115.3, 9, 33, 36
115.05, 9, 33, 37
114.5, 9, 33, 38
114.2, 9, 33, 39
114.0, 9, 33, 40
113.4, 9, 33, 42
113.8, 9, 33, 43
113.15, 9, 33, 44
112.75, 9, 33, 45
112.6, 9, 33, 46
112.1, 9, 33, 47
112.65, 9, 33, 48
113.7, 9, 33, 49
113.3, 9, 33, 50
112.95, 9, 33, 51
113.3, 9, 33, 52
112.7, 9, 33, 53
112.9, 9, 33, 54
112.25, 9, 33, 55
112.65, 9, 33, 56
113.6, 9, 33, 57
113.45, 9, 33, 58
114.5, 9, 33, 59
115.55, 9, 34, 0
116.15, 9, 34, 2
116.2, 9, 34, 3
116.0, 9, 34, 4
116.05, 9, 34, 5
114.9, 9, 34, 6
113.65, 9, 34, 7
113.6, 9, 34, 8
114.0, 9, 34, 9
115.0, 9, 34, 10
115.5, 9, 34, 11
114.6, 9, 34, 12
113.9, 9, 34, 13
112.8, 9, 34, 14
112.85, 9, 34, 15
113.9, 9, 34, 16
114.1, 9, 34, 17
114.6, 9, 34, 18
113.5, 9, 34, 19
113.0, 9, 34, 20
112.85, 9, 34, 22
112.3, 9, 34, 23
112.0, 9, 34, 24
112.1, 9, 34, 25
112.3, 9, 34, 26
114.1, 9, 34, 27
113.55, 9, 34, 28
112.95, 9, 34, 29
112.75, 9, 34, 30
112.6, 9, 34, 31
112.6, 9, 34, 32
112.2, 9, 34, 33
111.7, 9, 34, 34
112.5, 9, 34, 35
112.2, 9, 34, 36
111.65, 9, 34, 37
111.8, 9, 34, 38
110.85, 9, 34, 39
110.35, 9, 34, 41
110.75, 9, 34, 42
111.3, 9, 34, 43
112.6, 9, 34, 44
113.0, 9, 34, 45
113.5, 9, 34, 46
113.75, 9, 34, 47
114.0, 9, 34, 48
114.95, 9, 34, 49
115.25, 9, 34, 50
116.45, 9, 34, 51
116.4, 9, 34, 52
117.0, 9, 34, 53
117.0, 9, 34, 54
116.95, 9, 34, 55
117.05, 9, 34, 56
117.55, 9, 34, 57
117.75, 9, 34, 58
114.15, 9, 34, 59
113.95, 9, 35, 1
115.35, 9, 35, 2
116.0, 9, 35, 3
114.65, 9, 35, 4
115.4, 9, 35, 5
114.6, 9, 35, 6
113.0, 9, 35, 7
113.45, 9, 35, 8
113.6, 9, 35, 9
114.4, 9, 35, 10
113.9, 9, 35, 11
112.2, 9, 35, 12
111.8, 9, 35, 13
111.7, 9, 35, 14
111.5, 9, 35, 15
111.0, 9, 35, 16
110.4, 9, 35, 17
112.65, 9, 35, 18
111.2, 9, 35, 19
111.25, 9, 35, 20
111.05, 9, 35, 22
111.05, 9, 35, 23
110.8, 9, 35, 24
109.8, 9, 35, 25
109.8, 9, 35, 26
108.95, 9, 35, 27
109.9, 9, 35, 28
111.5, 9, 35, 29
111.15, 9, 35, 30
110.15, 9, 35, 31
110.65, 9, 35, 32
110.0, 9, 35, 33
110.95, 9, 35, 34
108.6, 9, 35, 35
108.3, 9, 35, 36
108.15, 9, 35, 37
109.0, 9, 35, 38
109.75, 9, 35, 40
109.7, 9, 35, 41
108.6, 9, 35, 42
108.0, 9, 35, 43
108.95, 9, 35, 44
108.6, 9, 35, 45
108.3, 9, 35, 46
109.45, 9, 35, 47
108.55, 9, 35, 48
108.35, 9, 35, 49
109.35, 9, 35, 50
108.0, 9, 35, 51
107.9, 9, 35, 52
107.65, 9, 35, 53
108.4, 9, 35, 54
107.6, 9, 35, 55
107.35, 9, 35, 56
108.0, 9, 35, 57
106.95, 9, 35, 58
107.75, 9, 36, 0
108.5, 9, 36, 1
109.35, 9, 36, 2
109.9, 9, 36, 3
110.15, 9, 36, 4
109.25, 9, 36, 5
110.55, 9, 36, 6
110.6, 9, 36, 7
111.35, 9, 36, 8
110.45, 9, 36, 9
110.7, 9, 36, 10
111.05, 9, 36, 11
111.5, 9, 36, 12
111.2, 9, 36, 13
112.25, 9, 36, 14
112.35, 9, 36, 15
113.15, 9, 36, 16
113.7, 9, 36, 17
111.25, 9, 36, 18
112.15, 9, 36, 20
112.8, 9, 36, 21
111.9, 9, 36, 22
112.6, 9, 36, 23
112.15, 9, 36, 24
112.65, 9, 36, 25
112.35, 9, 36, 26
111.95, 9, 36, 27
111.9, 9, 36, 28
111.8, 9, 36, 29
113.0, 9, 36, 30
114.2, 9, 36, 31
114.75, 9, 36, 32
114.9, 9, 36, 33
115.05, 9, 36, 34
113.5, 9, 36, 35
112.75, 9, 36, 36
113.5, 9, 36, 37
114.65, 9, 36, 38
114.55, 9, 36, 40
114.75, 9, 36, 41
114.3, 9, 36, 42
115.1, 9, 36, 43
116.15, 9, 36, 44
115.8, 9, 36, 45
115.65, 9, 36, 46
115.8, 9, 36, 47
116.5, 9, 36, 48
115.45, 9, 36, 49
114.45, 9, 36, 50
115.2, 9, 36, 51
116.05, 9, 36, 52
115.9, 9, 36, 53
115.35, 9, 36, 54
114.75, 9, 36, 55
115.05, 9, 36, 56
114.55, 9, 36, 57
115.55, 9, 36, 58
115.75, 9, 37, 0
115.75, 9, 37, 1
115.4, 9, 37, 2
115.25, 9, 37, 3
115.2, 9, 37, 4
114.8, 9, 37, 5
114.4, 9, 37, 6
114.1, 9, 37, 7
114.3, 9, 37, 8
114.15, 9, 37, 9
113.6, 9, 37, 10
114.0, 9, 37, 11
114.8, 9, 37, 12
115.05, 9, 37, 13
113.9, 9, 37, 14
114.25, 9, 37, 15
115.0, 9, 37, 16
114.55, 9, 37, 17
114.15, 9, 37, 18
115.1, 9, 37, 20
115.0, 9, 37, 21
114.95, 9, 37, 22
113.55, 9, 37, 23
112.95, 9, 37, 24
112.8, 9, 37, 25
112.0, 9, 37, 26
111.35, 9, 37, 27
111.5, 9, 37, 28
112.55, 9, 37, 29
113.0, 9, 37, 30
112.35, 9, 37, 31
112.45, 9, 37, 32
113.05, 9, 37, 34
113.25, 9, 37, 35
112.8, 9, 37, 36
114.6, 9, 37, 37
114.7, 9, 37, 38
115.6, 9, 37, 39
115.6, 9, 37, 40
115.3, 9, 37, 41
115.3, 9, 37, 42
115.7, 9, 37, 43
116.5, 9, 37, 44
116.35, 9, 37, 45
116.45, 9, 37, 47
116.9, 9, 37, 48
117.4, 9, 37, 49
117.75, 9, 37, 50
118.35, 9, 37, 51
119.7, 9, 37, 52
119.0, 9, 37, 53
121.1, 9, 37, 54
121.75, 9, 37, 55
121.8, 9, 37, 56
121.75, 9, 37, 57
120.75, 9, 37, 58
119.0, 9, 37, 59
118.85, 9, 38, 0
118.45, 9, 38, 1
119.15, 9, 38, 2
119.4, 9, 38, 3
118.75, 9, 38, 4
119.4, 9, 38, 5
120.15, 9, 38, 7
118.2, 9, 38, 8
118.1, 9, 38, 9
119.6, 9, 38, 10
119.9, 9, 38, 11
119.3, 9, 38, 12
120.6, 9, 38, 13
118.85, 9, 38, 14
118.9, 9, 38, 15
119.4, 9, 38, 16
119.6, 9, 38, 17
120.15, 9, 38, 18
120.7, 9, 38, 19
120.85, 9, 38, 20
121.7, 9, 38, 21
122.5, 9, 38, 22
122.9, 9, 38, 23
122.45, 9, 38, 24
125.75, 9, 38, 26
127.4, 9, 38, 27
127.6, 9, 38, 28
127.85, 9, 38, 29
129.35, 9, 38, 30
130.1, 9, 38, 31
127.45, 9, 38, 32
126.4, 9, 38, 33
127.0, 9, 38, 34
126.25, 9, 38, 35
127.8, 9, 38, 36
127.15, 9, 38, 37
126.4, 9, 38, 38
124.5, 9, 38, 39
124.9, 9, 38, 40
125.65, 9, 38, 41
125.3, 9, 38, 42
125.2, 9, 38, 43
123.65, 9, 38, 44
124.15, 9, 38, 45
123.55, 9, 38, 46
124.2, 9, 38, 48
124.95, 9, 38, 49
124.15, 9, 38, 50
125.5, 9, 38, 51
124.7, 9, 38, 52
124.65, 9, 38, 53
124.2, 9, 38, 54
124.4, 9, 38, 55
125.05, 9, 38, 56
124.85, 9, 38, 57
125.8, 9, 38, 58
127.3, 9, 38, 59
127.75, 9, 39, 0
128.4, 9, 39, 1
127.95, 9, 39, 2
128.5, 9, 39, 3
126.45, 9, 39, 4
125.8, 9, 39, 5
127.0, 9, 39, 6
127.8, 9, 39, 8
126.2, 9, 39, 9
126.55, 9, 39, 10
126.75, 9, 39, 11
126.3, 9, 39, 12
127.6, 9, 39, 13
125.15, 9, 39, 14
124.5, 9, 39, 15
125.0, 9, 39, 16
125.45, 9, 39, 17
124.3, 9, 39, 18
123.95, 9, 39, 19
124.95, 9, 39, 20
123.05, 9, 39, 21
122.65, 9, 39, 22
122.8, 9, 39, 23
122.0, 9, 39, 24
121.0, 9, 39, 25
120.95, 9, 39, 27
119.5, 9, 39, 28
119.5, 9, 39, 29
120.5, 9, 39, 30
120.7, 9, 39, 31
121.75, 9, 39, 32
121.85, 9, 39, 33
120.85, 9, 39, 34
120.65, 9, 39, 35
120.8, 9, 39, 36
119.9, 9, 39, 37
120.35, 9, 39, 38
121.3, 9, 39, 39
120.0, 9, 39, 40
120.0, 9, 39, 41
120.6, 9, 39, 42
121.55, 9, 39, 43
120.5, 9, 39, 44
120.7, 9, 39, 46
119.95, 9, 39, 47
121.15, 9, 39, 48
122.35, 9, 39, 49
122.55, 9, 39, 50
122.55, 9, 39, 51
122.7, 9, 39, 52
120.95, 9, 39, 53
120.7, 9, 39, 54
122.0, 9, 39, 55
121.15, 9, 39, 56
121.15, 9, 39, 57
122.45, 9, 39, 58
120.9, 9, 39, 59
120.7, 9, 40, 0
121.55, 9, 40, 1
122.0, 9, 40, 2
122.15, 9, 40, 3
121.5, 9, 40, 4
121.65, 9, 40, 6
121.8, 9, 40, 7
121.05, 9, 40, 8
120.45, 9, 40, 9
120.5, 9, 40, 10
119.3, 9, 40, 11
118.95, 9, 40, 12
118.45, 9, 40, 13
118.75, 9, 40, 14
118.6, 9, 40, 15
118.0, 9, 40, 16
118.05, 9, 40, 17
117.1, 9, 40, 18
117.2, 9, 40, 19
117.95, 9, 40, 20
118.45, 9, 40, 21
119.95, 9, 40, 22
118.8, 9, 40, 23
119.15, 9, 40, 24
119.95, 9, 40, 25
120.45, 9, 40, 27
119.05, 9, 40, 28
119.15, 9, 40, 29
117.3, 9, 40, 30
117.85, 9, 40, 31
117.9, 9, 40, 32
117.55, 9, 40, 33
117.35, 9, 40, 34
117.3, 9, 40, 35
118.7, 9, 40, 36
118.55, 9, 40, 37
120.15, 9, 40, 38
119.85, 9, 40, 39
118.8, 9, 40, 40
119.45, 9, 40, 41
120.7, 9, 40, 42
120.7, 9, 40, 43
120.5, 9, 40, 44
120.75, 9, 40, 45
119.95, 9, 40, 47
119.75, 9, 40, 48
120.05, 9, 40, 49
118.9, 9, 40, 50
118.25, 9, 40, 51
119.4, 9, 40, 52
120.0, 9, 40, 53
119.15, 9, 40, 54
119.75, 9, 40, 55
119.6, 9, 40, 56
119.15, 9, 40, 57
120.2, 9, 40, 58
120.3, 9, 40, 59
119.8, 9, 41, 0
118.7, 9, 41, 1
118.0, 9, 41, 2
119.95, 9, 41, 3
120.15, 9, 41, 4
118.4, 9, 41, 5
118.55, 9, 41, 6
119.95, 9, 41, 8
120.65, 9, 41, 9
121.7, 9, 41, 10
121.95, 9, 41, 11
122.75, 9, 41, 12
122.6, 9, 41, 13
123.65, 9, 41, 14
123.9, 9, 41, 15
124.9, 9, 41, 16
124.85, 9, 41, 17
123.45, 9, 41, 18
124.45, 9, 41, 19
124.55, 9, 41, 20
124.2, 9, 41, 21
123.9, 9, 41, 22
123.15, 9, 41, 23
122.15, 9, 41, 24
122.4, 9, 41, 25
122.0, 9, 41, 26
122.75, 9, 41, 28
122.8, 9, 41, 29
124.15, 9, 41, 30
124.65, 9, 41, 31
124.9, 9, 41, 32
125.0, 9, 41, 33
125.7, 9, 41, 34
125.55, 9, 41, 35
126.0, 9, 41, 36
126.0, 9, 41, 37
126.85, 9, 41, 38
127.15, 9, 41, 39
127.75, 9, 41, 40
127.9, 9, 41, 41
127.75, 9, 41, 42
125.9, 9, 41, 43
125.2, 9, 41, 44
124.7, 9, 41, 45
126.15, 9, 41, 46
126.3, 9, 41, 48
125.95, 9, 41, 49
125.15, 9, 41, 50
125.7, 9, 41, 51
126.1, 9, 41, 52
126.25, 9, 41, 53
125.85, 9, 41, 54
126.4, 9, 41, 55
125.2, 9, 41, 56
126.1, 9, 41, 57
127.15, 9, 41, 58
127.2, 9, 41, 59
127.65, 9, 42, 0
128.15, 9, 42, 1
128.7, 9, 42, 2
128.7, 9, 42, 3
128.95, 9, 42, 4
127.8, 9, 42, 5
126.25, 9, 42, 6
126.15, 9, 42, 8
125.35, 9, 42, 9
125.45, 9, 42, 10
125.95, 9, 42, 11
125.85, 9, 42, 12
125.05, 9, 42, 13
124.55, 9, 42, 14
123.85, 9, 42, 15
123.85, 9, 42, 16
123.25, 9, 42, 17
124.75, 9, 42, 18
124.65, 9, 42, 19
125.1, 9, 42, 20
125.25, 9, 42, 21
125.0, 9, 42, 22
125.25, 9, 42, 23
125.15, 9, 42, 24
124.5, 9, 42, 25
124.35, 9, 42, 26
124.6, 9, 42, 28
124.05, 9, 42, 29
124.0, 9, 42, 30
123.7, 9, 42, 31
125.65, 9, 42, 32
125.95, 9, 42, 33
126.9, 9, 42, 34
127.3, 9, 42, 35
127.9, 9, 42, 36
128.0, 9, 42, 37
127.0, 9, 42, 38
126.75, 9, 42, 39
127.45, 9, 42, 40
127.45, 9, 42, 41
127.5, 9, 42, 42
127.75, 9, 42, 43
128.0, 9, 42, 44
128.2, 9, 42, 45
127.8, 9, 42, 46
127.1, 9, 42, 47
126.7, 9, 42, 49
126.5, 9, 42, 50
126.75, 9, 42, 51
126.95, 9, 42, 52
124.9, 9, 42, 53
125.45, 9, 42, 54
125.5, 9, 42, 55
124.05, 9, 42, 56
124.75, 9, 42, 57
126.0, 9, 42, 58
125.8, 9, 42, 59
125.05, 9, 43, 0
126.1, 9, 43, 1
126.25, 9, 43, 2
127.15, 9, 43, 3
126.7, 9, 43, 4
126.9, 9, 43, 5
127.0, 9, 43, 6
126.9, 9, 43, 7
126.85, 9, 43, 9
126.2, 9, 43, 10
125.1, 9, 43, 11
126.15, 9, 43, 12
125.5, 9, 43, 13
125.25, 9, 43, 14
126.25, 9, 43, 15
125.8, 9, 43, 16
125.25, 9, 43, 17
126.25, 9, 43, 18
126.15, 9, 43, 19
126.65, 9, 43, 20
126.6, 9, 43, 21
127.45, 9, 43, 22
127.6, 9, 43, 23
127.6, 9, 43, 24
127.95, 9, 43, 25
128.5, 9, 43, 26
127.95, 9, 43, 27
128.35, 9, 43, 28
127.75, 9, 43, 30
126.5, 9, 43, 31
127.5, 9, 43, 32
127.95, 9, 43, 33
128.85, 9, 43, 34
127.95, 9, 43, 35
127.9, 9, 43, 36
128.05, 9, 43, 37
127.9, 9, 43, 38
127.5, 9, 43, 39
128.1, 9, 43, 40
128.75, 9, 43, 41
129.5, 9, 43, 42
129.45, 9, 43, 43
130.85, 9, 43, 44
131.3, 9, 43, 45
136.2, 9, 43, 46
133.75, 9, 43, 47
133.4, 9, 43, 48
132.9, 9, 43, 49
133.6, 9, 43, 51
134.2, 9, 43, 52
134.8, 9, 43, 53
135.65, 9, 43, 54
135.5, 9, 43, 55
135.75, 9, 43, 56
135.3, 9, 43, 57
135.8, 9, 43, 58
134.75, 9, 43, 59
134.8, 9, 44, 0
135.0, 9, 44, 1
134.5, 9, 44, 2
135.3, 9, 44, 3
136.5, 9, 44, 4
137.0, 9, 44, 5
136.8, 9, 44, 6
138.0, 9, 44, 7
138.4, 9, 44, 9
139.4, 9, 44, 10
139.4, 9, 44, 11
138.1, 9, 44, 12
137.6, 9, 44, 13
137.15, 9, 44, 14
136.2, 9, 44, 15
136.05, 9, 44, 16
136.3, 9, 44, 17
136.85, 9, 44, 18
136.05, 9, 44, 19
137.75, 9, 44, 20
136.7, 9, 44, 21
136.85, 9, 44, 22
136.5, 9, 44, 23
135.3, 9, 44, 24
135.05, 9, 44, 25
135.85, 9, 44, 26
136.15, 9, 44, 27
135.75, 9, 44, 28
134.55, 9, 44, 30
134.5, 9, 44, 31
134.35, 9, 44, 32
135.5, 9, 44, 33
135.2, 9, 44, 34
134.6, 9, 44, 35
134.5, 9, 44, 36
135.1, 9, 44, 37
134.45, 9, 44, 38
134.15, 9, 44, 39
134.8, 9, 44, 40
133.95, 9, 44, 41
133.25, 9, 44, 42
132.75, 9, 44, 43
132.3, 9, 44, 44
132.0, 9, 44, 45
132.9, 9, 44, 46
134.25, 9, 44, 47
134.75, 9, 44, 48
133.9, 9, 44, 49
134.5, 9, 44, 51
134.5, 9, 44, 52
135.0, 9, 44, 53
134.8, 9, 44, 54
135.4, 9, 44, 55
136.05, 9, 44, 56
135.75, 9, 44, 57
137.0, 9, 44, 58
136.95, 9, 44, 59
137.4, 9, 45, 0
137.0, 9, 45, 1
136.55, 9, 45, 2
